traits	Place
Scotland/GLA0083-2622|Glasgow|2022-03-30	Glasgow
England/CAM0184-1626|Cambridge|2022-02-22	Cambridge
England/CAM0185-1416|Cambridge|2022-02-19	Cambridge
Scotland/EDI0058-1242|Edinburgh|2022-02-16	Edinburgh
Scotland/EDI0069-1326|Edinburgh|2022-02-17	Edinburgh
France/PAR0231-2703|Paris|2022-04-04	Paris
France/PAR0227-2724|Paris|2022-04-05	Paris
England/BIR0134-2205|Birmingham|2022-03-04	Birmingham
England/BIR0146-2016|Birmingham|2022-02-28	Birmingham
England/BIR0139-2496|Birmingham|2022-03-16	Birmingham
England/BIR0142-2445|Birmingham|2022-03-14	Birmingham
England/BIR0137-1185|Birmingham|2022-02-15	Birmingham
Scotland/EDI0074-1596|Edinburgh|2022-02-22	Edinburgh
Scotland/EDI0067-1380|Edinburgh|2022-02-19	Edinburgh
Scotland/EDI0052-2841|Edinburgh|2022-04-14	Edinburgh
Scotland/EDI0055-417|Edinburgh|2022-02-01	Edinburgh
Scotland/EDI0064-546|Edinburgh|2022-02-04	Edinburgh
Scotland/GLA0075-1014|Glasgow|2022-02-13	Glasgow
Norway/OSL0010-114|Oslo|2022-01-15	Oslo
Norway/OSL0018-93|Oslo|2022-01-14	Oslo
Wales/CAR0157-2946|Cardiff|2022-05-28	Cardiff
Wales/CAR0155-2940|Cardiff|2022-05-23	Cardiff
Wales/CAR0160-2814|Cardiff|2022-04-12	Cardiff
Wales/CAR0169-2793|Cardiff|2022-04-10	Cardiff
Wales/CAR0158-2922|Cardiff|2022-04-30	Cardiff
Wales/CAR0151-2928|Cardiff|2022-05-01	Cardiff
Wales/CAR0168-2856|Cardiff|2022-04-17	Cardiff
Wales/CAR0165-2880|Cardiff|2022-04-21	Cardiff
Wales/CAR0152-2895|Cardiff|2022-04-27	Cardiff
Wales/CAR0174-2901|Cardiff|2022-04-28	Cardiff
Wales/CAR0153-2763|Cardiff|2022-04-08	Cardiff
Wales/CAR0159-2733|Cardiff|2022-04-06	Cardiff
Wales/CAR0154-2655|Cardiff|2022-04-01	Cardiff
Wales/CAR0161-2643|Cardiff|2022-03-31	Cardiff
Wales/CAR0167-2571|Cardiff|2022-03-24	Cardiff
England/BIR0135-2667|Birmingham|2022-04-01	Birmingham
England/CAM0175-2595|Cambridge|2022-03-25	Cambridge
England/CAM0187-822|Cambridge|2022-02-09	Cambridge
England/CAM0180-921|Cambridge|2022-02-11	Cambridge
England/CAM0178-2229|Cambridge|2022-03-04	Cambridge
England/LON0204-2610|London|2022-03-26	London
England/CAM0190-2349|Cambridge|2022-03-08	Cambridge
Norway/OSL0009-351|Oslo|2022-01-31	Oslo
Norway/OSL0021-432|Oslo|2022-02-01	Oslo
Norway/OSL0013-888|Oslo|2022-02-11	Oslo
Norway/OSL0024-675|Oslo|2022-02-07	Oslo
Scotland/GLA0076-2529|Glasgow|2022-03-20	Glasgow
Scotland/GLA0098-2583|Glasgow|2022-03-24	Glasgow
Scotland/GLA0078-2382|Glasgow|2022-03-09	Glasgow
Norway/OSL0000-273|Oslo|2022-01-28	Oslo
Norway/OSL0004-267|Oslo|2022-01-28	Oslo
England/CAM0198-1005|Cambridge|2022-02-13	Cambridge
England/CAM0196-1128|Cambridge|2022-02-14	Cambridge
England/CAM0192-333|Cambridge|2022-01-30	Cambridge
England/CAM0182-501|Cambridge|2022-02-03	Cambridge
England/CAM0177-237|Cambridge|2022-01-27	Cambridge
France/PAR0234-693|Paris|2022-02-07	Paris
Norway/OSL0016-1827|Oslo|2022-02-25	Oslo
Norway/OSL0015-1212|Oslo|2022-02-15	Oslo
Norway/OSL0019-1275|Oslo|2022-02-16	Oslo
Norway/OSL0001-171|Oslo|2022-01-21	Oslo
Norway/OSL0003-162|Oslo|2022-01-21	Oslo
Norway/OSL0007-39|Oslo|2022-01-08	Oslo
