traits	Country	Place	Lat	Lon
England/CAM0180-921|Cambridge|2022-02-11	UK	Cambridge	52.67	-0.3
England/CAM0178-2229|Cambridge|2022-03-04	UK	Cambridge	52.65	1.75
England/LON0204-2610|London|2022-03-26	UK	London	50.77	0.1
England/CAM0190-2349|Cambridge|2022-03-08	UK	Cambridge	52.3	-0.7
Norway/OSL0009-351|Oslo|2022-01-31	Norway	Oslo	60.6897751915948	9.36274125259856
Norway/OSL0021-432|Oslo|2022-02-01	Norway	Oslo	61.074445144189	9.94479691648936
Norway/OSL0013-888|Oslo|2022-02-11	Norway	Oslo	60.7011221322122	10.3688082145615
Norway/OSL0024-675|Oslo|2022-02-07	Norway	Oslo	61.5215427619874	8.74161403933679
Scotland/GLA0076-2529|Glasgow|2022-03-20	UK	Glasgow	54.66	-5.68
Scotland/GLA0098-2583|Glasgow|2022-03-24	UK	Glasgow	55.83	-4.5
Scotland/GLA0078-2382|Glasgow|2022-03-09	UK	Glasgow	55.96	-4.79
Norway/OSL0000-273|Oslo|2022-01-28	Norway	Oslo	60.3132476341343	9.01236032936996
Norway/OSL0004-267|Oslo|2022-01-28	Norway	Oslo	62.3115277830696	9.19528937448268
England/CAM0198-1005|Cambridge|2022-02-13	UK	Cambridge	52.07	1.14
England/CAM0196-1128|Cambridge|2022-02-14	UK	Cambridge	52.33	1.3
England/CAM0192-333|Cambridge|2022-01-30	UK	Cambridge	52.24	0.7
England/CAM0182-501|Cambridge|2022-02-03	UK	Cambridge	51.88	0.9
England/CAM0177-237|Cambridge|2022-01-27	UK	Cambridge	51.99	-0.23
France/PAR0234-693|Paris|2022-02-07	France	Paris	49.1724201530001	2.53497178241795
Norway/OSL0016-1827|Oslo|2022-02-25	Norway	Oslo	61.6512796611914	8.81464502817822
Norway/OSL0015-1212|Oslo|2022-02-15	Norway	Oslo	61.5602179192052	9.32443948663671
Norway/OSL0019-1275|Oslo|2022-02-16	Norway	Oslo	59.5961673086324	8.66661656848192
Norway/OSL0001-171|Oslo|2022-01-21	Norway	Oslo	61.4102527148137	9.88704753119047
Norway/OSL0003-162|Oslo|2022-01-21	Norway	Oslo	60.422228104465	9.50330903477539
Norway/OSL0007-39|Oslo|2022-01-08	Norway	Oslo	59.6021975010684	9.39331389462735
